SampleID,Species,CommonName,Week,Date,Length_mm,ForkLength(mm),Weight_g,Reef,Trap,TotalCount,TotalMass(g),d15N,d13C,Note
,,Mud Crab,3,7/31/23,7,,1,2,Bag,,,,,
,,Mud Crab,3,7/31/23,6,,1,2,Bag,,,,,
,,Mud Crab,3,7/31/23,8,,<1,2,Bag,,,,,
,,Mud Crab,3,7/31/23,8,,1,2,Bag,,,,,
,,Mud Crab (total),3,7/31/23,,,,2,Bag,6,2,,,
,Gobiesox strumosus,Skillet Fish,3,7/31/23,33,,1,2,Bag,,,,,
,Centropristis striata,Black Sea Bass,3,7/31/23,30,,1,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,27,,,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,29,,,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,26,,,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,30,,,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,21,,,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,24,,,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,26,,,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,26,,,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,27,,,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,27,,,2,Bag,,,,,
,Gobiosoma bosc (total),Naked Goby (total),3,7/31/23,,,,2,Bag,19,5,,,
,,Spider Crab,3,7/31/23,39,,31,2,Bag,,,,,found on bag
,Gobiosoma bosc,Naked Goby,3,7/31/23,27,,<1,3,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,3,8/1/23,31,,<1,1,0,,,,,
,Palaemon volgaris,Grass Shrimp,3,8/1/23,,,,1,0,,,,,mush - unmeasurable
,Orthopristis chrysoptera,Pigfish,3,8/1/23,46,43,2,1,3.5,,,,,
,Orthopristis chrysoptera,Pigfish,3,8/1/23,33,32,1,1,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,3,8/1/23,26,,<1,3,0,,,,,Eggs (lots of ulva on reef 3)
,Anguilla rostrata,American Eel,3,8/1/23,212,,12,3,3.5,,,,,
,Anguilla rostrata,American Eel,3,8/1/23,202,,11,3,3.5,,,,,
,Pagurus sp.,Hermit Crab,3,8/1/23,11,,<1,3,3.5,,,,,
,Pagurus sp.,Hermit Crab,3,8/1/23,15,,1,3,7,,,,,
,Palaemon volgaris,Grass Shrimp,3,8/1/23,30,,1,3,14,,,,,Eggs
,Pagurus sp.,Hermit Crab,3,8/1/23,,,,3,14,,,,,Lost in the field
,Bidyanus bidyanus,Silver Perch,3,8/1/23,40,,1,4,0,,,,,
,Bidyanus bidyanus,Silver Perch,3,8/1/23,36,,1,4,0,,,,,
,Pagurus sp.,Hermit Crab,3,8/1/23,19,,2,4,0,,,,,
,Pagurus sp.,Hermit Crab,3,8/1/23,10,,<1,4,0,,,,,
,Palaemon volgaris,Grass Shrimp,3,8/1/23,,,,4,0,,,,,Head only
,Palaemon volgaris,Grass Shrimp,3,8/1/23,33,,1,4,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,3,8/1/23,29,,1,4,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,3,8/1/23,33,,1,4,3.5,,,,,
,Pagurus sp.,Hermit Crab,3,8/1/23,12,,1,4,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,24,,<1,1,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,19,,<1,1,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,20,,<1,1,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,17,,<1,1,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,21,,<1,1,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,21,,<1,1,Bag,,,,,
,Palaemon volgaris (total),Grass Shrimp (total),4,8/7/23,,,,1,Bag,6,1,,,
,,Mud Crab,4,8/7/23,7,,<1,1,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,31,,1,1,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,29,,1,1,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,30,,1,1,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,29,,1,1,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,20,,<1,2,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,21,,<1,2,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,17,,<1,2,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,18,,<1,2,Bag,,,,,
,Palaemon volgaris (total),Grass Shrimp (total),4,8/7/23,,,,2,Bag,7,1,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,30,,1,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,26,,1,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,29,,1,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,28,,1,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,27,,1,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,33,,1,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,29,,1,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,28,,1,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,30,,1,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,24,,1,2,Bag,,,,,
,Gobiosoma bosc,Naked Goby,4,8/7/23,26,,<1,2,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,17,,,3,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,24,,,3,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,22,,,3,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,24,,,3,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,17,,,3,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,20,,,3,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,18,,,3,Bag,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/7/23,21,,,3,Bag,,,,,
,Palaemon volgaris (total),Grass Shrimp (total),4,8/7/23,,,,3,Bag,10,1,,,
,,Mud Crab,4,8/7/23,8,,<1,3,Bag,,,,,
,,Mud Crab,4,8/7/23,8,,<1,3,Bag,,,,,
,,Mud Crab,4,8/7/23,8,,<1,3,Bag,,,,,
,,Mud Crab,4,8/7/23,8,,<1,3,Bag,,,,,
,,Mud Crab,4,8/7/23,5,,<1,3,Bag,,,,,
,,Mud Crab,4,8/7/23,9,,<1,3,Bag,,,,,
,,Mud Crab,4,8/7/23,8,,<1,3,Bag,,,,,
,,Mud Crab,4,8/7/23,10,,<1,3,Bag,,,,,
,,Mud Crab,4,8/7/23,7,,<1,3,Bag,,,,,
,,Mud Crab,4,8/7/23,9,,<1,3,Bag,,,,,
,,Mud Crab (total),4,8/7/23,,,,3,Bag,12,1,,,
,Palaemon volgaris,Grass Shrimp,4,8/8/23,30,,<1,1,0,,,,,
,Pagurus sp.,Hermit Crab,4,8/8/23,20,,2,1,0,,,,,
,Pagurus sp.,Hermit Crab,4,8/8/23,18,,1,1,0,,,,,
,Bidyanus bidyanus,Silver Perch,4,8/8/23,48,,1,1,3.5,,,,,
,Pagurus sp.,Hermit Crab,4,8/8/23,20,,2,1,3.5,,,,,
,Gobiosoma bosc,Naked Goby,4,8/8/23,29,,1,2,0,,,,,
,Orthopristis chrysoptera,Pigfish,4,8/8/23,33,32,1,2,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/8/23,23,,1,2,3.5,,,,,
,Anguilla rostrata,American Eel,4,8/8/23,264,,25,2,7,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/8/23,35,,1,2,7,,,,,
,Orthopristis chrysoptera,Pigfish,4,8/8/23,50,48,2,3,0,,,,,
,Bidyanus bidyanus,SIlver Perch,4,8/8/23,69,,4,3,0,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/8/23,27,,1,3,0,,,,,
,Palaemon volgaris,Grass Shrimp,4,8/8/23,26,,1,3,0,,,,,
,Anguilla rostrata,American Eel,4,8/8/23,258,,28,3,7,,,,,
,Centropristis striata,Black Sea Bass,4,8/8/23,43,,1,3,7,,,,,
,Anguilla rostrata,American Eel,4,8/8/23,330,,66,4,0,,,,,
,Anguilla rostrata,American Eel,4,8/8/23,336,,56,4,0,,,,,
,Bidyanus bidyanus,SIlver Perch,4,8/8/23,41,,1,4,7,,,,,
,Orthopristis chrysoptera,Pigfish,4,8/8/23,34,,1,4,14,,,,,
,Orthopristis chrysoptera,Pigfish,5,8/15/23,33,31,1,1,0,,,,,
,Bidyanus bidyanus,SIlver Perch,5,8/15/23,49,,2,1,0,,,,,
,Bidyanus bidyanus,SIlver Perch,5,8/15/23,32,,1,1,0,,,,,
,Bidyanus bidyanus,SIlver Perch,5,8/15/23,40,,1,1,0,,,,,
,Bidyanus bidyanus,SIlver Perch,5,8/15/23,52,,2,1,3.5,,,,,
,Crepidula spp.,Slipper Shell,5,8/15/23,9,,<1,2,0,,,,,
,Orthopristis chrysoptera,Pigfish,5,8/15/23,60,57,3,2,3.5,,,,,
,Orthopristis chrysoptera,Pigfish,5,8/15/23,52,49,2,2,3.5,,,,,
,Anguilla rostrata,American Eel,5,8/15/23,306,,40,2,7,,,,,
,Anguilla rostrata,American Eel,5,8/15/23,241,,20,3,0,,,,,
,Centropristis striata,Black Sea Bass,5,8/15/23,51,,2,3,3.5,,,,,
,Bidyanus bidyanus,SIlver Perch,5,8/15/23,63,,3,3,3.5,,,,,
,Anguilla rostrata,American Eel,5,8/15/23,302,,38,3,7,,,,,
,Anguilla rostrata,American Eel,5,8/15/23,221,,18,3,7,,,,,
,Tautoga onitis,Tautog,5,8/15/23,67,,5,3,14,,,,,
,Centropristis striata,Black Sea Bass,5,8/15/23,68,,4,3,14,,,,,
,Anguilla rostrata,American Eel,5,8/15/23,287,,42,4,0,,,,,
,Tautoga onitis,Tautog,5,8/15/23,61,,3,4,0,,,,,
,,Mud Crab,5,8/15/23,9,,<1,4,0,,,,,
,Bidyanus bidyanus,SIlver Perch,5,8/15/23,50,,1,4,3.5,,,,,
,Pagurus sp.,Hermit Crab,5,8/15/23,21,,2,4,3.5,,,,,slippershells on shell
,Pagurus sp.,Hermit Crab,5,8/15/23,16,,2,4,3.5,,,,,slippershells on shell
,Pagurus sp.,Hermit Crab,5,8/15/23,14,,1,4,3.5,,,,,
,Centropristis striata,Black Sea Bass,5,8/15/23,55,,2,4,7,,,,,
,Bidyanus bidyanus,SIlver Perch,5,8/15/23,43,,1,4,7,,,,,
,Centropristis striata,Black Sea Bass,6,8/22/23,38,,1,1,0,,,,,
,Pagurus sp.,Hermit Crab,6,8/22/23,19,,1,1,7,,,,,
,Centropristis striata,Black Sea Bass,6,8/22/23,37,,1,1,14,,,,,
,Centropristis striata,Black Sea Bass,6,8/22/23,44,,1,1,14,,,,,
,Centropristis striata,Black Sea Bass,6,8/22/23,38,,1,2,0,,,,,
,Palaemon volgaris,Grass Shrimp,6,8/22/23,23,,<1,3,0,,,,,
,Palaemon volgaris,Grass Shrimp,6,8/22/23,35,,1,3,3.5,,,,,eggs
,Bidyanus bidyanus,SIlver Perch,6,8/22/23,31,,1,3,3.5,,,,,
,Bidyanus bidyanus,SIlver Perch,6,8/22/23,34,,1,3,7,,,,,
,Pagurus sp.,Hermit Crab,6,8/22/23,18,,1,3,7,,,,,
,Menidia sp.,Silverside,6,8/22/23,72,67,3,4,0,,,,,
,Palaemon volgaris,Grass Shrimp,6,8/22/23,30,,1,4,0,,,,,
,Bidyanus bidyanus,SIlver Perch,6,8/22/23,33,,1,4,0,,,,,
,Palaemon volgaris,Grass Shrimp,6,8/22/23,32,,1,4,3.5,,,,,
,Pagurus sp.,Hermit Crab,7,8/29/23,17,,1,1,0,,,,,
,Palaemon volgaris,Grass Shrimp,7,8/29/23,23,,<1,1,3.5,,,,,
,Pagurus sp.,Hermit Crab,7,8/29/23,20,,2,1,3.5,,,,,
,Orthopristis chrysoptera,Pigfish,7,8/29/23,36,34,1,1,3.5,,,,,
,Orthopristis chrysoptera,Pigfish,7,8/29/23,28,26,1,1,3.5,,,,,
,,Snail,7,8/29/23,15,,1,1,14,,,,,
,,Snail,7,8/29/23,17,,1,1,14,,,,,
,Palaemon volgaris,Grass Shrimp,7,8/29/23,21,,<1,1,14,,,,,
,Anguilla rostrata,American Eel,7,8/29/23,269,,35,2,3.5,,,,,
,Orthopristis chrysoptera,Pigfish,7,8/29/23,62,57,4,2,3.5,,,,,
,Centropristis striata,Black Sea Bass,7,8/29/23,54,,2,2,7,,,,,
,Orthopristis chrysoptera,Pigfish,7,8/29/23,41,38,1,3,0,,,,,
,Centropristis striata,Black Sea Bass,7,8/29/23,39,,1,3,3.5,,,,,
,Pagurus sp.,Hermit Crab,7,8/29/23,13,,1,3,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,7,8/29/23,27,,<1,3,3.5,,,,,
,Bidyanus bidyanus,SIlver Perch,7,8/29/23,61,,4,3,7,,,,,
,Anguilla rostrata,American Eel,7,8/29/23,350,,52,4,0,,,,,
,Centropristis striata,Black Sea Bass,7,8/29/23,53,,2,4,14,,,,,
,Centropristis striata,Black Sea Bass,7,8/29/23,59,,3,4,14,,,,,
,Centropristis striata,Black Sea Bass,7,8/29/23,60,,4,4,14,,,,,
,Orthopristis chrysoptera,Pigfish,7,8/29/23,36,35,1,4,14,,,,,
,Palaemon volgaris,Grass Shrimp,8,9/6/23,36,,1,1,0,,,,,
,Centropristis striata,Black Sea Bass,8,9/6/23,53,,2,1,3.5,,,,,
,Centropristis striata,Black Sea Bass,8,9/6/23,72,,5,1,7,,,,,
,Orthopristis chrysoptera,Pigfish,8,9/6/23,37,35,<1,1,14,,,,,
,Orthopristis chrysoptera,Pigfish,8,9/6/23,54,52,2,1,14,,,,,
,Orthopristis chrysoptera,Pigfish,8,9/6/23,44,41,2,2,0,,,,,
,Rachycentron canadum,Cobia,8,9/6/23,144,,8,2,3.5,,,,,
,Fundulus heteroclitus,Mummichog,8,9/6/23,74,,6,2,7,,,,,
,Centropristis striata,Black Sea Bass,8,9/6/23,80,,6,2,7,,,,,
,Centropristis striata,Black Sea Bass,8,9/6/23,59,,2,2,7,,,,,
,Centropristis striata,Black Sea Bass,8,9/6/23,63,,3,3,3.5,,,,,
,Pagurus sp.,Hermit Crab,8,9/6/23,16,,1,3,7,,,,,
,Centropristis striata,Black Sea Bass,8,9/6/23,82,,7,4,3.5,,,,,
,Pagurus sp.,Hermit Crab,8,9/6/23,15,,1,4,7,,,,,
,Centropristis striata,Black Sea Bass,8,9/6/23,56,,2,4,7,,,,,
,Palaemon volgaris,Grass Shrimp,8,9/6/23,35,,1,4,14,,,,,
,Palaemon volgaris,Grass Shrimp,8,9/6/23,24,,<1,4,14,,,,,
,Centropristis striata,Black Sea Bass,9,9/12/23,54,,2,1,7,,,,,
,Fundulus heteroclitus,Mummichog,9,9/12/23,78,,7,1,14,,,,,
,Orthopristis chrysoptera,Pigfish,9,9/12/23,73,68,6,2,3.5,,,,,
,Centropristis striata,Black Sea Bass,9,9/12/23,58,,3,3,0,,,,,
,Centropristis striata,Black Sea Bass,9,9/12/23,77,,6,3,7,,,,,
,Palaemon volgaris,Grass Shrimp,9,9/12/23,28,,1,3,14,,,,,
,Palaemon volgaris,Grass Shrimp,9,9/12/23,29,,1,3,14,,,,,
,Palaemon volgaris,Grass Shrimp,9,9/12/23,26,,1,3,14,,,,,
,Bidyanus bidyanus,SIlver Perch,9,9/12/23,65,,3,4,0,,,,,
,Palaemon volgaris,Grass Shrimp,9,9/12/23,25,,<1,4,14,,,,,
,Centropristis striata,Black Sea Bass,10,9/19/23,81,,8,1,0,,,,,
,Pagurus sp.,Hermit Crab,10,9/19/23,6,,1,1,0,,,,,
,Pagurus sp.,Hermit Crab,10,9/19/23,6,,1,1,0,,,,,
,Pagurus sp.,Hermit Crab,10,9/19/23,7,,1,1,0,,,,,
,Lutjanus griseus,Gray Snapper,10,9/19/23,12,,<1,1,7,,,,,
,Pagurus sp.,Hermit Crab,10,9/19/23,11,,2,1,7,,,,,
,Centropristis striata,Black Sea Bass,10,9/19/23,79,,6,1,14,,,,,
,,Snail,10,9/19/23,10,,2,2,0,,,,,
,Centropristis striata,Black Sea Bass,10,9/19/23,82,,8,2,3.5,,,,,
,Pagurus sp.,Hermit Crab,10,9/19/23,9,,1,2,3.5,,,,,
,Centropristis striata,Black Sea Bass,10,9/19/23,40,,1,2,7,,,,,
,Palaemon volgaris,Grass Shrimp,10,9/19/23,31,,1,3,0,,,,,
,Palaemon volgaris,Grass Shrimp,10,9/19/23,23,,<1,3,0,,,,,
,Palaemon volgaris,Grass Shrimp,10,9/19/23,34,,1,3,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,10,9/19/23,26,,<1,3,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,10,9/19/23,33,,1,3,14,,,,,
,Palaemon volgaris,Grass Shrimp,10,9/19/23,30,,1,3,14,,,,,
,Palaemon volgaris,Grass Shrimp,10,9/19/23,25,,<1,4,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,10,9/19/23,24,,<1,4,3.5,,,,,
,Centropristis striata,Black Sea Bass,10,9/19/23,59,,3,4,7,,,,,
,Palaemon volgaris,Grass Shrimp,10,9/19/23,28,,<1,4,7,,,,,
,Palaemon volgaris,Grass Shrimp,10,9/19/23,28,,<1,4,7,,,,,
,Centropristis striata,Black Sea Bass,10,9/19/23,90,,9,4,14,,,,,
,Centropristis striata,Black Sea Bass,10,9/19/23,80,,7,4,14,,,,,
,Centropristis striata,Black Sea Bass,10,9/19/23,66,,4,4,14,,,,,
,"STILL NEED TO DO WEEK 11, THEY WERE SOAKED FOR APPROXIMITELY 48 HOURS DUE TO TIDES",,,,,,,,,,,,,
,Bidyanus bidyanus,SIlver Perch,12,10/3/23,76,,6,1,0,,,,,
,Centropristis striata,Black Sea Bass,12,10/3/23,45,,1,1,0,,,,,
,Centropristis striata,Black Sea Bass,12,10/3/23,44,,2,1,3.5,,,,,
,Pagurus sp.,Hermit Crab,12,10/3/23,12,,3,1,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,12,10/3/23,23,,<1,1,14,,,,,
,Hypsoblennius hentz,Feather Blenny,12,10/3/23,70,,6,1,14,,,,,
,Centropristis striata,Black Sea Bass,12,10/3/23,44,,1,1,14,,,,,
,Centropristis striata,Black Sea Bass,12,10/3/23,79,,7,1,14,,,,,
,Centropristis striata,Black Sea Bass,12,10/3/23,78,,7,1,14,,,,,
,Orthopristis chrysoptera,Pigfish,12,10/3/23,74,70,6,1,14,,,,,
,Orthopristis chrysoptera,Pigfish,12,10/3/23,74,70,6,1,14,,,,,
,Pagurus sp.,Hermit Crab,12,10/3/23,11,,2,2,3.5,,,,,
,Pagurus sp.,Hermit Crab,12,10/3/23,10,,2,2,3.5,,,,,
,Pagurus sp.,Hermit Crab,12,10/3/23,9,,1,2,3.5,,,,,
,,Snail,12,10/3/23,6,,1,2,3.5,,,,,
,Anguilla rostrata,American Eel,12,10/3/23,436,,138,2,3.5,,,,,
,Pagurus sp.,Hermit Crab,12,10/3/23,7,,1,2,7,,,,,
,Pagurus sp.,Hermit Crab,12,10/3/23,6,,<1,2,7,,,,,
,Orthopristis chrysoptera,Pigfish,12,10/3/23,84,78,8,2,14,,,,,
,Opsanus tau,Oyster Toadfish,12,10/3/23,77,,7,3,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,12,10/3/23,24,,<1,3,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,12,10/3/23,30,,<1,3,7,,,,,
,Centropristis striata,Black Sea Bass,12,10/3/23,87,,9,3,14,,,,,
,Palaemon volgaris,Grass Shrimp,12,10/3/23,37,,1,3,14,,,,,
,Palaemon volgaris,Grass Shrimp,12,10/3/23,28,,<1,3,14,,,,,
,Palaemon volgaris,Grass Shrimp,12,10/3/23,26,,<1,3,14,,,,,
,Orthopristis chrysoptera,Pigfish,12,10/3/23,49,46,2,4,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,12,10/3/23,30,,<1,4,3.5,,,,,
,,Mud Crab,12,10/3/23,19,,2,4,7,,,,,
,Palaemon volgaris,Grass Shrimp,12,10/3/23,26,,<1,4,7,,,,,
,Palaemon volgaris,Grass Shrimp,12,10/3/23,32,,1,4,7,,,,,
,Palaemon volgaris,Grass Shrimp,12,10/3/23,27,,<1,4,7,,,,,
,Centropristis striata,Black Sea Bass,12,10/3/23,86,,9,4,14,,,,,
,Centropristis striata,Black Sea Bass,12,10/3/23,67,,4,4,14,,,,,
,,Mud Crab,12,10/3/23,11,,1,4,14,,,,,
,Palaemon volgaris,Grass Shrimp,12,10/3/23,31,,1,4,14,,,,,
,Palaemon volgaris,Grass Shrimp,12,10/3/23,32,,1,4,14,,,,,
,Palaemon volgaris,Grass Shrimp,12,10/3/23,36,,1,4,14,,,,,
,Bidyanus bidyanus,Silver Perch,13,10/10/23,77,,6,1,0,,,,,
,Bidyanus bidyanus,Silver Perch,13,10/10/23,87,,7,1,14,,,,,
,Bidyanus bidyanus,Silver Perch,13,10/10/23,95,,10,1,14,,,,,
,Bidyanus bidyanus,Silver Perch,13,10/10/23,79,,7,1,14,,,,,
,Bidyanus bidyanus,Silver Perch,13,10/10/23,81,,6,1,14,,,,,
,Pagurus sp.,Hermit Crab,13,10/10/23,,,,2,0,,,,,lost during sampling
,Bidyanus bidyanus,Silver Perch,13,10/10/23,79,,6,2,3.5,,,,,
,Bidyanus bidyanus,Silver Perch,13,10/10/23,72,,5,2,3.5,,,,,
,Bidyanus bidyanus,Silver Perch,13,10/10/23,71,,5,2,3.5,,,,,
,Bidyanus bidyanus,Silver Perch,13,10/10/23,92,,9,2,3.5,,,,,
,Centropristis striata,Black Sea Bass,13,10/10/23,52,,2,2,14,,,,,
,Bidyanus bidyanus,Silver Perch,13,10/10/23,82,,7,3,7,,,,,
,Bidyanus bidyanus,Silver Perch,13,10/10/23,79,,5,3,7,,,,,
,,Snail,13,10/10/23,12,,<1,4,0,,,,,
,,Snail,13,10/10/23,13,,<1,4,0,,,,,
,Palaemon volgaris,Grass Shrimp,13,10/10/23,29,,1,4,0,,,,,
,Pagurus sp.,Hermit Crab,13,10/10/23,9,,2,4,0,,,,,
,Centropristis striata,Black Sea Bass,13,10/10/23,47,,2,4,3.5,,,,,
,Pagurus sp.,Hermit Crab,13,10/10/23,9,,2,4,7,,,,,
,Centropristis striata,Black Sea Bass,13,10/10/23,66,,4,4,14,,,,,
,Centropristis striata,Black Sea Bass,13,10/10/23,91,,10,4,14,,,,,
,Centropristis striata,Black Sea Bass,13,10/10/23,76,,6,4,14,,,,,
