"","IndivID","Species","CommonName","FL_cm","TL_cm","Weight_g","Sex","Date","FishingType","d13C","d15N","d34S","d34S_SD","WT.S","WT.S_SD","CN","Notes","Week","Rack"
"21","O4-14-3","Crassostrea virginica","Eastern Oyster",NA,4.6,13.84,NA,"10/16/23","Hand",-18.88,10.25,NA,NA,NA,NA,3.546753581,"pulled from oystter aquaculture setup at end of season","14","3"
"22","O4-14-3","Crassostrea virginica","Eastern Oyster",NA,4.6,13.84,NA,"10/16/23","Hand",-21.73,9.84,NA,NA,NA,NA,6.493101077,"pulled from oystter aquaculture setup at end of season","14","3"
"23","O4-14-3","Crassostrea virginica","Eastern Oyster",NA,4.6,13.84,NA,"10/16/23","Hand",-20.11,10.25,NA,NA,NA,NA,4.372998683,"pulled from oystter aquaculture setup at end of season","14","3"
"24","BA1-2","Agardhiella spp","Red Algae",NA,NA,NA,NA,"7/26/23","Seine",-18.99,10.68,NA,NA,NA,NA,11.32833135,NA,"2",""
"25","BA2-2","Agardhiella spp","Red Algae",NA,NA,NA,NA,"7/26/23","Seine",-18.86,11.04,NA,NA,NA,NA,12.75372008,NA,"2",""
"26","BA3-2","Agardhiella spp","Red Algae",NA,NA,NA,NA,"7/26/23","Seine",-19,11.08,NA,NA,NA,NA,11.45079106,NA,"2",""
"27","GA1-5","Enteromorpha spp","Green Algae",NA,NA,NA,NA,"8/14/23","Seine",-19.67,12.6,NA,NA,NA,NA,10.1480087,NA,"5",""
"28","GA2-5","Enteromorpha spp","Green Algae",NA,NA,NA,NA,"8/14/23","Seine",-19.45,12.38,NA,NA,NA,NA,9.868757743,NA,"5",""
"29","GA3-5","Enteromorpha spp","Green Algae",NA,NA,NA,NA,"8/14/23","Seine",-18.98,12.7,NA,NA,NA,NA,10.07674502,NA,"5",""
"30","ULV1-5","Ulva spp","Ulva",NA,NA,NA,NA,"8/17/23","Seine",-9.329627849,11.62785849,NA,NA,NA,NA,14.69958734,NA,"5",""
"31","ULV1-8","Ulva spp","Ulva",NA,NA,NA,NA,"9/7/23","Seine",-11.92904243,9.041782599,NA,NA,NA,NA,12.8690509,NA,"8",""
"32","ULV2-5","Ulva spp","Ulva",NA,NA,NA,NA,"8/17/23","Seine",-11.36007186,10.78595047,NA,NA,NA,NA,12.32130679,NA,"5",""
"33","ULV2-8","Ulva spp","Ulva",NA,NA,NA,NA,"9/7/23","Seine",-13.02235843,9.093081654,NA,NA,NA,NA,10.23917168,NA,"8",""
"34","ULV3-5","Ulva spp","Ulva",NA,NA,NA,NA,"8/17/23","Seine",-9.811376552,11.52224279,NA,NA,NA,NA,14.61988982,NA,"5",""
"35","ULV3-8","Ulva spp","Ulva",NA,NA,NA,NA,"9/7/23","Seine",-13.00004586,9.267096095,NA,NA,NA,NA,10.71509485,NA,"8",""
"36",NA,"Detritus","Detritus",NA,NA,NA,NA,NA,NA,-18.3,3.4,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,"Detritus","Detritus",NA,NA,NA,NA,NA,NA,-17,4.6,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,"Detritus","Detritus",NA,NA,NA,NA,NA,NA,-15.7,5.8,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,"Detritus","Detritus",NA,NA,NA,NA,NA,NA,-14.4,7,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,"Detritus","Detritus",NA,NA,NA,NA,NA,NA,-13.1,8.2,NA,NA,NA,NA,NA,NA,NA,NA
