"","IndivID","Species","CommonName","FL_cm","TL_cm","Weight_g","Sex","Date","FishingType","d13C","d15N","d34S","d34S_SD","WT.S","WT.S_SD","CN","Notes","Week","Rack"
"723","BC1-5-4-S","Bairdiella chrysoura","Silver Perch",NA,5.4,1.59,NA,"8/17/23","Seine",-17.01,14.17,NA,NA,NA,NA,3.25093324,NA,"5","4"
"724","BC10-5-3-S","Bairdiella chrysoura","Silver Perch",NA,8.2,6.16,NA,"8/17/23","Seine",-16.03,14.81,NA,NA,NA,NA,3.20645258,NA,"5","3"
"725","BC2-2-1-S","Bairdiella chrysoura","Silver Perch",NA,2.3,0.13,NA,"7/26/23","Seine",-18.31,14.27,NA,NA,NA,NA,3.5,NA,"2","1"
"726","BC2-2-2-S","Bairdiella chrysoura","Silver Perch",NA,2.9,0.26,NA,"7/26/23","Seine",-17.47,13.8,NA,NA,NA,NA,3.3,NA,"2","2"
"727","BC2-5-3-S","Bairdiella chrysoura","Silver Perch",NA,5.3,2.39,NA,"8/17/23","Seine",-16.66,14.41,NA,NA,NA,NA,3.24348947,NA,"5","3"
"728","BC2-5-4-S","Bairdiella chrysoura","Silver Perch",NA,2.7,0.14,NA,"8/17/23","Seine",-16.95,13.81,NA,NA,NA,NA,3.3105533,NA,"5","4"
"729","BC3-2-2-S","Bairdiella chrysoura","Silver Perch",NA,2.7,0.24,NA,"7/26/23","Seine",-17.65,14.47,NA,NA,NA,NA,3.4,NA,"2","2"
"730","BC3-5-3-S","Bairdiella chrysoura","Silver Perch",NA,5.8,2.15,NA,"8/17/23","Seine",-15.13,14.29,NA,NA,NA,NA,3.24892686,NA,"5","3"
"731","BC3-5-4-S","Bairdiella chrysoura","Silver Perch",NA,5.6,2.58,NA,"8/17/23","Seine",-17.68,14.57,NA,NA,NA,NA,3.4864594,NA,"5","4"
"732","BC4-2-2-S","Bairdiella chrysoura","Silver Perch",NA,3.1,0.32,NA,"7/26/23","Seine",-17.58,13.98,NA,NA,NA,NA,3.4,NA,"2","2"
"733","BC4-5-3-S","Bairdiella chrysoura","Silver Perch",NA,6.2,2.73,NA,"8/17/23","Seine",-17.15,13.82,NA,NA,NA,NA,3.21824671,NA,"5","3"
"734","BC5-5-3-S","Bairdiella chrysoura","Silver Perch",NA,6.5,3.55,NA,"8/17/23","Seine",-16.66,14.2,NA,NA,NA,NA,3.23714541,NA,"5","3"
"735","BC6-5-3-S","Bairdiella chrysoura","Silver Perch",NA,4.4,0.86,NA,"8/17/23","Seine",-17.58,14.16,NA,NA,NA,NA,3.33118066,NA,"5","3"
"736","BC7-5-3-S","Bairdiella chrysoura","Silver Perch",NA,7.7,5.26,NA,"8/17/23","Seine",-16.49,14.88,NA,NA,NA,NA,3.20259803,NA,"5","3"
"737","BC8-5-3-S","Bairdiella chrysoura","Silver Perch",NA,7,4.12,NA,"8/17/23","Seine",-16.24,15.02,NA,NA,NA,NA,3.22336361,NA,"5","3"
"738","BC9-5-3-S","Bairdiella chrysoura","Silver Perch",NA,7.3,4.37,NA,"8/17/23","Seine",-15.98,14.94,NA,NA,NA,NA,3.22391517,NA,"5","3"
"739","CR1-2-1-S","Cynoscion regalis","Weakfish",NA,6.9,2.86,NA,"7/26/23","Seine",-16.98,14.62,NA,NA,NA,NA,3.2,NA,"2","1"
"740","CR2-2-1-S","Cynoscion regalis","Weakfish",NA,5,0.97,NA,"7/26/23","Seine",-16.96,14.58,NA,NA,NA,NA,3.3,NA,"2","1"
"741","CS1-12-1-S","Centropristis striata","Black Sea Bass",NA,NA,NA,NA,"10/4/23","Seine",-16.35,14.06,NA,NA,NA,NA,3.4,NA,"12","1"
"742","CS1-12-3-S","Centropristis striata","Black Sea Bass",NA,4.2,0.92,NA,"10/4/23","Seine",-16.8,13.93,NA,NA,NA,NA,3.4,NA,"12","3"
"743","CS1-12-4-S","Centropristis striata","Black Sea Bass",NA,4.6,1.35,NA,"10/4/23","Seine",-16.42,13.61,NA,NA,NA,NA,3.4,NA,"12","4"
"744","CS1-5-4-S","Centropristis striata","Black Sea Bass",NA,5.6,2.4,NA,"8/17/23","Seine",-16.03,14.23,NA,NA,NA,NA,3.2837803,NA,"5","4"
"745","CS2-12-1-S","Centropristis striata","Black Sea Bass",NA,6.1,3.31,NA,"10/4/23","Seine",-16.3,14.99,NA,NA,NA,NA,3.3,NA,"12","1"
"746","CS2-12-4-S","Centropristis striata","Black Sea Bass",NA,4.1,0.93,NA,"10/4/23","Seine",-16.69,13.45,NA,NA,NA,NA,3.4,NA,"12","4"
"747","CS2-5-4-S","Centropristis striata","Black Sea Bass",NA,5.4,2.11,NA,"8/17/23","Seine",-16.09,13.85,NA,NA,NA,NA,3.292823,NA,"5","4"
"748","CS3-12-1-S","Centropristis striata","Black Sea Bass",NA,7.7,6.91,NA,"10/4/23","Seine",-17.05,13.9,NA,NA,NA,NA,3.3,NA,"12","1"
"749","CS3-12-4-S","Centropristis striata","Black Sea Bass",NA,3.8,0.69,NA,"10/4/23","Seine",-16.47,13.75,NA,NA,NA,NA,3.4,NA,"12","4"
"750","CS4-12-4-S","Centropristis striata","Black Sea Bass",NA,4.6,1.35,NA,"10/4/23","Seine",-16.47,13.58,NA,NA,NA,NA,3.3,NA,"12","4"
"751","CS5-12-4-S","Centropristis striata","Black Sea Bass",NA,4.4,1.15,NA,"10/4/23","Seine",-16.68,13.87,NA,NA,NA,NA,3.3,NA,"12","4"
"752","CS6-12-4-S","Centropristis striata","Black Sea Bass",NA,4.6,1.34,NA,"10/4/23","Seine",-16.46,13.48,NA,NA,NA,NA,3.3,NA,"12","4"
"753","CS7-12-4-S","Centropristis striata","Black Sea Bass",NA,4.4,1.22,NA,"10/4/23","Seine",-16.48,13.74,NA,NA,NA,NA,3.4,NA,"12","4"
"754","CS8-12-4-S","Centropristis striata","Black Sea Bass",NA,7.2,5.49,NA,"10/4/23","Seine",-15.98,14,NA,NA,NA,NA,3.3,NA,"12","4"
"755","CS9-12-4-S","Centropristis striata","Black Sea Bass",NA,7.3,5.52,NA,"10/4/23","Seine",-16.69,13.16,NA,NA,NA,NA,3.2,NA,"12","4"
"756","CSC1-2-4-S","Callinectes sapidus","Blue Crab",NA,10.5,81.3,NA,"7/26/23","Seine",-15.52,11.46,NA,NA,NA,NA,3.26717324,NA,"2","4"
"757","CSC2-2-4-S","Callinectes sapidus","Blue Crab",NA,3.7,5.31,NA,"7/26/23","Seine",-15.87,13.31,NA,NA,NA,NA,3.26020986,NA,"2","4"
"758","CSC3-2-4-S","Callinectes sapidus","Blue Crab",NA,8.7,42.67,NA,"7/26/23","Seine",-16.98,12.7,NA,NA,NA,NA,3.30685851,NA,"2","4"
"759","CSC4-2-4-S","Callinectes sapidus","Blue Crab",NA,4.2,4.74,NA,"7/26/23","Seine",-16.96,13.1,NA,NA,NA,NA,3.28359371,NA,"2","4"
"760","CSC5-2-4-S","Callinectes sapidus","Blue Crab",NA,5.8,17.09,NA,"7/26/23","Seine",-16.76,13.05,NA,NA,NA,NA,3.25963488,NA,"2","4"
"761","CSC6-2-4-S","Callinectes sapidus","Blue Crab",NA,3.8,5.38,NA,"7/26/23","Seine",-15.78,12.78,NA,NA,NA,NA,3.4130681,NA,"2","4"
"762","CSC7-2-4-S","Callinectes sapidus","Blue Crab",NA,10.6,80.08,NA,"7/26/23","Seine",-15.44,14.04,NA,NA,NA,NA,3.2178961,NA,"2","4"
"763","CSC8-2-4-S","Callinectes sapidus","Blue Crab",NA,3.6,3.15,NA,"7/26/23","Seine",-16.84,12.47,NA,NA,NA,NA,3.79252957,NA,"2","4"
"764","CSC9-2-4-S","Callinectes sapidus","Blue Crab",NA,3.4,3.55,NA,"7/26/23","Seine",-15.96,13.57,NA,NA,NA,NA,3.3024309,NA,"2","4"
"765","CV1-12-1-S","Cyprinodon variegatus","Sheepshead Minnow",NA,2.9,0.44,NA,"10/4/23","Seine",-14.9,9.53,NA,NA,NA,NA,3.8,NA,"12","1"
"766","EM1-12-1-S","Etropus microstomus","Smallmouth Flounder",NA,NA,NA,NA,"10/4/23","Seine",-16.77,12.19,NA,NA,NA,NA,3.3,NA,"12","1"
"767","EM1-12-3-S","Etropus microstomus","Smallmouth Flounder",NA,4.4,0.77,NA,"10/4/23","Seine",-16.95,12.02,NA,NA,NA,NA,3.4,NA,"12","3"
"768","EM2-12-1-S","Etropus microstomus","Smallmouth Flounder",NA,4.2,0.61,NA,"10/4/23","Seine",-16.96,13.02,NA,NA,NA,NA,3.3,NA,"12","1"
"769","EM2-12-3-S","Etropus microstomus","Smallmouth Flounder",NA,4,0.57,NA,"10/4/23","Seine",-16.99,11.54,NA,NA,NA,NA,3.3,NA,"12","3"
"770","EM3-12-1-S","Etropus microstomus","Smallmouth Flounder",NA,4,0.57,NA,"10/4/23","Seine",-17,12.64,NA,NA,NA,NA,3.4,NA,"12","1"
"771","EM4-12-1-S","Etropus microstomus","Smallmouth Flounder",NA,4.7,0.93,NA,"10/4/23","Seine",-16.77,12.43,NA,NA,NA,NA,3.3,NA,"12","1"
"772","FH1-2-1-S","Fundulus heteroclitus","Mummichog",NA,6.6,2.32,NA,"7/26/23","Seine",-16.5,10.71,NA,NA,NA,NA,3.4,NA,"2","1"
"773","FH1-2-2-S","Fundulus heteroclitus","Mummichog",NA,5.1,1.62,NA,"7/26/23","Seine",-19.56,14.28,NA,NA,NA,NA,3.3,NA,"2","2"
"774","FH1-2-4-S","Fundulus heteroclitus","Mummichog",NA,5.5,2.34,NA,"7/26/23","Seine",-15.66,11.98,NA,NA,NA,NA,3.3,NA,"2","4"
"775","FH1-5-1-S","Fundulus heteroclitus","Mummichog",NA,6.3,3.06,NA,"8/17/23","Seine",-17.73,12.84,NA,NA,NA,NA,3.27291457,NA,"5","1"
"776","FH1-5-3-S","Fundulus heteroclitus","Mummichog",NA,8,6.38,NA,"8/17/23","Seine",-17.97,11.6,NA,NA,NA,NA,3.22644714,NA,"5","3"
"777","FH10-2-4-S","Fundulus heteroclitus","Mummichog",NA,7.7,7.16,NA,"7/26/23","Seine",-16.49,12.65,NA,NA,NA,NA,3.3,NA,"2","4"
"778","FH10-5-1-S","Fundulus heteroclitus","Mummichog",NA,7.6,5.79,NA,"8/17/23","Seine",-16.94,10.3,NA,NA,NA,NA,3.19325512,NA,"5","1"
"779","FH2-2-1-S","Fundulus heteroclitus","Mummichog",NA,7.3,5.44,NA,"7/26/23","Seine",-17.04,13.75,NA,NA,NA,NA,3.3,NA,"2","1"
"780","FH2-5-1-S","Fundulus heteroclitus","Mummichog",NA,7.5,6.32,NA,"8/17/23","Seine",-16.41,12.55,NA,NA,NA,NA,3.2653717,NA,"5","1"
"781","FH3-2-1-S","Fundulus heteroclitus","Mummichog",NA,7.4,5.69,NA,"7/26/23","Seine",-18.7,14.03,NA,NA,NA,NA,3.2,NA,"2","1"
"782","FH3-2-4-S","Fundulus heteroclitus","Mummichog",NA,5.8,2.4,NA,"7/26/23","Seine",-12.73,11.39,NA,NA,NA,NA,3.3,NA,"2","4"
"783","FH3-5-1-S","Fundulus heteroclitus","Mummichog",NA,7.7,6.08,NA,"8/17/23","Seine",-15.67,13.18,NA,NA,NA,NA,3.17816509,NA,"5","1"
"784","FH4-2-1-S","Fundulus heteroclitus","Mummichog",NA,7.8,8.41,NA,"7/26/23","Seine",-17.06,12.87,NA,NA,NA,NA,3.3,NA,"2","1"
"785","FH4-2-4-S","Fundulus heteroclitus","Mummichog",NA,6.9,5.23,NA,"7/26/23","Seine",-15.92,12.44,NA,NA,NA,NA,3.4,NA,"2","4"
"786","FH4-5-1-S","Fundulus heteroclitus","Mummichog",NA,7.1,4.9,NA,"8/17/23","Seine",-17.56,12.3,NA,NA,NA,NA,3.28597785,NA,"5","1"
"787","FH5-2-4-S","Fundulus heteroclitus","Mummichog",NA,6.4,4.02,NA,"7/26/23","Seine",-16.6,13.09,NA,NA,NA,NA,3.3,NA,"2","4"
"788","FH5-5-1-S","Fundulus heteroclitus","Mummichog",NA,8.2,8.24,NA,"8/17/23","Seine",-16.97,13.35,NA,NA,NA,NA,3.25753702,NA,"5","1"
"789","FH6-2-4-S","Fundulus heteroclitus","Mummichog",NA,6,3.51,NA,"7/26/23","Seine",-14.93,12.67,NA,NA,NA,NA,3.3,NA,"2","4"
"790","FH6-5-1-S","Fundulus heteroclitus","Mummichog",NA,7,4.25,NA,"8/17/23","Seine",-17.2,12.04,NA,NA,NA,NA,3.22859878,NA,"5","1"
"791","FH7-2-4-S","Fundulus heteroclitus","Mummichog",NA,7,5.12,NA,"7/26/23","Seine",-15.26,14.65,NA,NA,NA,NA,3.3,NA,"2","4"
"792","FH7-5-1-S","Fundulus heteroclitus","Mummichog",NA,9.2,9.05,NA,"8/17/23","Seine",-17.61,12,NA,NA,NA,NA,3.16765631,NA,"5","1"
"793","FH8-2-4-S","Fundulus heteroclitus","Mummichog",NA,7.3,6.1,NA,"7/26/23","Seine",-16.76,13.42,NA,NA,NA,NA,3.3,NA,"2","4"
"794","FH8-5-1-S","Fundulus heteroclitus","Mummichog",NA,8.7,9.39,NA,"8/17/23","Seine",-16.7,13.98,NA,NA,NA,NA,3.2929013,NA,"5","1"
"795","FH9-2-4-S","Fundulus heteroclitus","Mummichog",NA,7.3,5.82,NA,"7/26/23","Seine",-16.02,13,NA,NA,NA,NA,3.3,NA,"2","4"
"796","FH9-5-1-S","Fundulus heteroclitus","Mummichog",NA,6.8,4.44,NA,"8/17/23","Seine",-16.93,11.64,NA,NA,NA,NA,3.28824934,NA,"5","1"
"797","FM1-12-1-S","Fundulus majalis","Striped Killifish",NA,7.3,4.56,NA,"10/4/23","Seine",-15.97,14.12,NA,NA,NA,NA,3.4,NA,"12","1"
"798","FM1-2-1-S","Fundulus majalis","Striped Killifish",NA,4.3,0.88,NA,"7/26/23","Seine",-14.04,8.73,NA,NA,NA,NA,3.4,NA,"2","1"
"799","FM1-2-2-S","Fundulus majalis","Striped Killifish",NA,3.8,0.59,NA,"7/26/23","Seine",-15.05,13.46,NA,NA,NA,NA,3.4,NA,"2","2"
"800","FM1-5-1-S","Fundulus majalis","Striped Killifish",NA,3.4,0.42,NA,"8/17/23","Seine",-15.85,13.89,NA,NA,NA,NA,3.38399953,NA,"5","1"
"801","FM1-5-2-S","Fundulus majalis","Striped Killifish",NA,4.2,0.81,NA,"8/17/23","Seine",-14.87,13.16,NA,NA,NA,NA,3.32470982,NA,"5","2"
"802","FM2-2-1-S","Fundulus majalis","Striped Killifish",NA,9.7,10.66,NA,"7/26/23","Seine",-16.4,12.63,NA,NA,NA,NA,3.2,NA,"2","1"
"803","FM2-2-2-S","Fundulus majalis","Striped Killifish",NA,4.8,1.13,NA,"7/26/23","Seine",-12.1,8.11,NA,NA,NA,NA,3.4,NA,"2","2"
"804","FM2-5-1-S","Fundulus majalis","Striped Killifish",NA,4.2,0.81,NA,"8/17/23","Seine",-12.66,8.51,NA,NA,NA,NA,3.36933598,NA,"5","1"
"805","FM3-2-1-S","Fundulus majalis","Striped Killifish",NA,11.8,21.17,NA,"7/26/23","Seine",-16.14,12.23,NA,NA,NA,NA,3.3,NA,"2","1"
"806","FM3-2-2-S","Fundulus majalis","Striped Killifish",NA,5.7,2.53,NA,"7/26/23","Seine",-14.39,12.94,NA,NA,NA,NA,3.4,NA,"2","2"
"807","FM3-5-1-S","Fundulus majalis","Striped Killifish",NA,5,1.58,NA,"8/17/23","Seine",-14.92,13.11,NA,NA,NA,NA,3.30465306,NA,"5","1"
"808","FM4-2-1-S","Fundulus majalis","Striped Killifish",NA,12.3,23.1,NA,"7/26/23","Seine",-16.16,13.69,NA,NA,NA,NA,3.2,NA,"2","1"
"809","FM4-2-2-S","Fundulus majalis","Striped Killifish",NA,5.3,1.88,NA,"7/26/23","Seine",-14.94,13.14,NA,NA,NA,NA,3.4,NA,"2","2"
"810","FM4-5-1-S","Fundulus majalis","Striped Killifish",NA,5.8,2.45,NA,"8/17/23","Seine",-15.13,14.47,NA,NA,NA,NA,3.33288097,NA,"5","1"
"811","FM5-2-1-S","Fundulus majalis","Striped Killifish",NA,13.5,30.15,NA,"7/26/23","Seine",-16.39,13.15,NA,NA,NA,NA,3.2,NA,"2","1"
"812","FM5-2-2-S","Fundulus majalis","Striped Killifish",NA,5.9,2.72,NA,"7/26/23","Seine",-15.12,13.62,NA,NA,NA,NA,3.3,NA,"2","2"
"813","FM5-5-1-S","Fundulus majalis","Striped Killifish",NA,6.9,4.28,NA,"8/17/23","Seine",-15.25,14.52,NA,NA,NA,NA,3.30293335,NA,"5","1"
"814","FM6-2-2-S","Fundulus majalis","Striped Killifish",NA,9,9.22,NA,"7/26/23","Seine",-16.32,14.43,NA,NA,NA,NA,3.3,NA,"2","2"
"815","GB1-5-4-S","Gobiosoma bosc","Naked Goby",NA,1.1,0.01,NA,"8/17/23","Seine",-17.73,14.96,NA,NA,NA,NA,3.35918229,NA,"5","4"
"816","GB10-5-4-S","Gobiosoma bosc","Naked Goby",NA,1.9,0.05,NA,"8/17/23","Seine",-16.62,14.15,NA,NA,NA,NA,3.29731934,NA,"5","4"
"817","GB2-5-4-S","Gobiosoma bosc","Naked Goby",NA,1.6,0.01,NA,"8/17/23","Seine",-17.26,13.66,NA,NA,NA,NA,3.31527279,NA,"5","4"
"818","GB3-5-4-S","Gobiosoma bosc","Naked Goby",NA,1.4,0.02,NA,"8/17/23","Seine",-17.18,13.62,NA,NA,NA,NA,3.4276464,NA,"5","4"
"819","GB4-5-4-S","Gobiosoma bosc","Naked Goby",NA,1.1,0.02,NA,"8/17/23","Seine",-17.25,13.8,NA,NA,NA,NA,3.42444172,NA,"5","4"
"820","GB5-5-4-S","Gobiosoma bosc","Naked Goby",NA,1.4,0.03,NA,"8/17/23","Seine",-17.53,13,NA,NA,NA,NA,3.50149942,NA,"5","4"
"821","GB6-5-4-S","Gobiosoma bosc","Naked Goby",NA,1.6,0.02,NA,"8/17/23","Seine",-16.85,13.64,NA,NA,NA,NA,3.47858259,NA,"5","4"
"822","GB7-5-4-S","Gobiosoma bosc","Naked Goby",NA,1.8,0.01,NA,"8/17/23","Seine",-15.87,13.49,NA,NA,NA,NA,3.4128305,NA,"5","4"
"823","GB8-5-4-S","Gobiosoma bosc","Naked Goby",NA,1.5,0.03,NA,"8/17/23","Seine",-16.91,14.22,NA,NA,NA,NA,3.30481011,NA,"5","4"
